seed_idx,generation,bsf
202,22,2.9145216941833496
202,23,2.9145216941833496
202,24,2.9145216941833496
202,25,2.9145216941833496
202,26,2.9145216941833496
202,27,2.9145216941833496
202,28,2.9145216941833496
202,29,2.9145216941833496
202,30,2.9145216941833496
202,31,2.9145216941833496
202,32,2.9145216941833496
202,33,2.9145216941833496
202,34,2.9145216941833496
202,35,2.9145216941833496
202,36,2.9145216941833496
202,37,2.9145216941833496
202,38,2.9145216941833496
202,39,2.9145216941833496
202,40,2.9145216941833496
202,41,2.9145216941833496
202,42,2.9145216941833496
202,43,2.9145216941833496
202,44,2.9145216941833496
202,45,2.9145216941833496
202,46,2.9145216941833496
202,47,2.9145216941833496
202,48,2.9145216941833496
202,49,2.9145216941833496
203,0,4.1248273849487305
203,1,4.1248273849487305
203,2,3.588752269744873
203,3,3.588752269744873
203,4,3.588752269744873
203,5,3.588752269744873
203,6,3.588752269744873
203,7,3.588752269744873
203,8,3.588752269744873
203,9,3.588752269744873
203,10,3.588752269744873
203,11,3.3147342205047607
203,12,2.837193012237549
203,13,2.837193012237549
203,14,2.837193012237549
203,15,2.837193012237549
203,16,2.837193012237549
203,17,2.837193012237549
203,18,2.788698196411133
203,19,2.6846070289611816
203,20,2.6846070289611816
203,21,2.6846070289611816
203,22,2.6846070289611816
203,23,2.6846070289611816
203,24,2.5026793479919434
203,25,2.5026793479919434
203,26,2.5026793479919434
203,27,2.5026793479919434
203,28,2.5026793479919434
203,29,2.5026793479919434
203,30,2.5026793479919434
203,31,2.5026793479919434
203,32,2.5026793479919434
203,33,2.5026793479919434
203,34,2.5026793479919434
203,35,2.5026793479919434
203,36,2.5026793479919434
203,37,2.21543550491333
203,38,2.21543550491333
203,39,2.21543550491333
203,40,2.21543550491333
203,41,2.21543550491333
203,42,2.21543550491333
203,43,2.21543550491333
203,44,2.21543550491333
203,45,2.21543550491333
203,46,2.21543550491333
203,47,2.21543550491333
203,48,2.21543550491333
203,49,2.21543550491333
204,0,2.6146652698516846
204,1,2.478935718536377
204,2,1.8131684064865112
204,3,1.8131684064865112
204,4,1.8131684064865112
204,5,1.7636646032333374
204,6,1.7636646032333374
204,7,1.7636646032333374
204,8,1.7636646032333374
204,9,1.7281235456466675
204,10,1.4923580884933472
204,11,1.428362488746643
204,12,1.428362488746643
204,13,1.428362488746643
204,14,1.3062469959259033
204,15,1.2854448556900024
204,16,1.2854448556900024
204,17,1.2854448556900024
204,18,1.2854448556900024
204,19,1.2854448556900024
204,20,1.057869553565979
204,21,1.057869553565979
204,22,1.057869553565979
204,23,1.057869553565979
204,24,1.057869553565979
204,25,1.057869553565979
204,26,1.057869553565979
204,27,1.057869553565979
204,28,1.057869553565979
204,29,1.057869553565979
204,30,1.057869553565979
204,31,1.057869553565979
204,32,1.057869553565979
204,33,1.057869553565979
204,34,1.057869553565979
204,35,1.057869553565979
204,36,1.057869553565979
204,37,1.057869553565979
204,38,1.057869553565979
204,39,1.057869553565979
204,40,1.057869553565979
204,41,1.057869553565979
204,42,1.057869553565979
204,43,1.057869553565979
204,44,1.057869553565979
204,45,1.057869553565979
204,46,1.057869553565979
204,47,1.057869553565979
204,48,1.057869553565979
204,49,0.8359609842300415
205,0,2.3189244270324707
205,1,2.3189244270324707
205,2,2.3189244270324707
205,3,2.2040810585021973
205,4,1.9232885837554932
205,5,1.8370118141174316
205,6,1.8370118141174316
205,7,1.8370118141174316
205,8,1.8370118141174316
205,9,1.8370118141174316
205,10,1.8370118141174316
205,11,1.8370118141174316
205,12,1.8370118141174316
205,13,1.8370118141174316
205,14,1.8370118141174316
205,15,1.8370118141174316
205,16,1.8370118141174316
205,17,1.8370118141174316
205,18,1.8370118141174316
205,19,1.8370118141174316
205,20,1.8370118141174316
205,21,1.8370118141174316
205,22,1.8370118141174316
205,23,1.8370118141174316
205,24,1.8370118141174316
205,25,1.8370118141174316
205,26,1.8370118141174316
205,27,1.8370118141174316
205,28,1.8370118141174316
205,29,1.8370118141174316
205,30,1.8370118141174316
205,31,1.8370118141174316
205,32,1.8370118141174316
