sut,cell,arm,rep,gen,cum_own_hv
qwen,28,raw,1,42,0.9999799251377403
qwen,28,raw,1,43,0.999984343667646
qwen,28,raw,1,44,0.999984343667646
qwen,28,raw,1,45,0.999984343667646
qwen,28,raw,1,46,0.999984343667646
qwen,28,raw,1,47,0.999984343667646
qwen,28,raw,1,48,0.999984343667646
qwen,28,raw,1,49,0.999984343667646
qwen,96,raw,1,0,0.9137189785639445
qwen,96,raw,1,1,0.9490765271921874
qwen,96,raw,1,2,0.9525979785579937
qwen,96,raw,1,3,0.9523849661642383
qwen,96,raw,1,4,0.9909404349735447
qwen,96,raw,1,5,0.9909071484102091
qwen,96,raw,1,6,0.9912143432104541
qwen,96,raw,1,7,0.9912143432104541
qwen,96,raw,1,8,0.99761209830308
qwen,96,raw,1,9,0.99761209830308
qwen,96,raw,1,10,0.9978177244327128
qwen,96,raw,1,11,0.9978177244327128
qwen,96,raw,1,12,0.9978102582245476
qwen,96,raw,1,13,0.9978102582245476
qwen,96,raw,1,14,0.9977969030146543
qwen,96,raw,1,15,0.9978197497341472
qwen,96,raw,1,16,0.998433574072143
qwen,96,raw,1,17,0.998433574072143
qwen,96,raw,1,18,0.998431997022767
qwen,96,raw,1,19,0.998433460045866
qwen,96,raw,1,20,0.998433460045866
qwen,96,raw,1,21,0.998433460045866
qwen,96,raw,1,22,0.998433574072143
qwen,96,raw,1,23,0.998433574072143
qwen,96,raw,1,24,0.9989200799047397
qwen,96,raw,1,25,0.9989200799047397
qwen,96,raw,1,26,0.9989200799047397
qwen,96,raw,1,27,0.9989200799047397
qwen,96,raw,1,28,0.9989200799047397
qwen,96,raw,1,29,0.9989200799047397
qwen,96,raw,1,30,0.9989200799047397
qwen,96,raw,1,31,0.9989200799047397
qwen,96,raw,1,32,0.9989200799047397
qwen,96,raw,1,33,0.9989200799047397
qwen,96,raw,1,34,0.9989200799047397
qwen,96,raw,1,35,0.9989200799047397
qwen,96,raw,1,36,0.9989792048852592
qwen,96,raw,1,37,0.9989792048852592
qwen,96,raw,1,38,0.9989792048852592
qwen,96,raw,1,39,0.9989792048852592
qwen,96,raw,1,40,0.9989792048852592
qwen,96,raw,1,41,0.9989792048852592
qwen,96,raw,1,42,0.9989792048852592
qwen,96,raw,1,43,0.999119759705384
qwen,96,raw,1,44,0.999119759705384
qwen,96,raw,1,45,0.9991407999093982
qwen,96,raw,1,46,0.9991407999093982
qwen,96,raw,1,47,0.9991407999093982
qwen,96,raw,1,48,0.9991407999093982
qwen,96,raw,1,49,0.9991407999093982
qwen,196,raw,1,0,0.14329306781291962
qwen,196,raw,1,1,0.21889672428369528
qwen,196,raw,1,2,0.2504582096327532
qwen,196,raw,1,3,0.249528062504691
qwen,196,raw,1,4,0.24923773846021283
qwen,196,raw,1,5,0.24803839693287827
qwen,196,raw,1,6,0.2476877011246867
qwen,196,raw,1,7,0.24803839693287827
qwen,196,raw,1,8,0.24709410135362952
qwen,196,raw,1,9,0.24550408413549796
qwen,196,raw,1,10,0.2475265109905967
qwen,196,raw,1,11,0.2475265109905967
qwen,196,raw,1,12,0.2475128272721717
qwen,196,raw,1,13,0.25433618045068007
qwen,196,raw,1,14,0.25492035389483514
qwen,196,raw,1,15,0.25470883580478465
qwen,196,raw,1,16,0.25470883580478465
qwen,196,raw,1,17,0.25492035389483514
qwen,196,raw,1,18,0.26739013691743213
qwen,196,raw,1,19,0.26739013691743213
qwen,196,raw,1,20,0.27072904433484546
qwen,196,raw,1,21,0.28300929244037143
qwen,196,raw,1,22,0.28258472419268377
qwen,196,raw,1,23,0.28285449396472073
qwen,196,raw,1,24,0.2850716905752281
qwen,196,raw,1,25,0.28504448669316534
qwen,196,raw,1,26,0.28503952993152737
qwen,196,raw,1,27,0.28503952993152737
qwen,196,raw,1,28,0.28503952993152737
qwen,196,raw,1,29,0.28503952993152737
qwen,196,raw,1,30,0.32935228893483004
qwen,196,raw,1,31,0.330400808739501
qwen,196,raw,1,32,0.3470036464969854
qwen,196,raw,1,33,0.35762736506693
qwen,196,raw,1,34,0.3624794925632956
qwen,196,raw,1,35,0.36222494439454045
qwen,196,raw,1,36,0.36395216707487005
qwen,196,raw,1,37,0.36395216707487005
qwen,196,raw,1,38,0.36379420550333125
qwen,196,raw,1,39,0.36379420550333125
qwen,196,raw,1,40,0.37051924167049893
qwen,196,raw,1,41,0.37051924167049893
qwen,196,raw,1,42,0.3705142232905458
qwen,196,raw,1,43,0.3705142232905458
qwen,196,raw,1,44,0.3705142232905458
qwen,196,raw,1,45,0.3705142232905458
qwen,196,raw,1,46,0.3705142232905458
qwen,196,raw,1,47,0.3740644079182778
qwen,196,raw,1,48,0.37816202691993916
qwen,196,raw,1,49,0.37816202691993916
qwen,278,raw,1,0,0.864412502430412
qwen,278,raw,1,1,0.878815491994222
qwen,278,raw,1,2,0.8793236778986679
qwen,278,raw,1,3,0.8949846981914803
qwen,278,raw,1,4,0.89511084036015
qwen,278,raw,1,5,0.8960902958110605
qwen,278,raw,1,6,0.8960902958110605
qwen,278,raw,1,7,0.9301173766801104
qwen,278,raw,1,8,0.9325812511916072
qwen,278,raw,1,9,0.9326378042867959
qwen,278,raw,1,10,0.9353428195831209
qwen,278,raw,1,11,0.9360890565480727
qwen,278,raw,1,12,0.936814590659551
qwen,278,raw,1,13,0.9381053128443779
qwen,278,raw,1,14,0.9714762751539028
qwen,278,raw,1,15,0.9751438417809498
qwen,278,raw,1,16,0.9754052405100548
qwen,278,raw,1,17,0.9754052405100548
qwen,278,raw,1,18,0.9771336592961607
qwen,278,raw,1,19,0.9772851265847596
