sut,cell,arm,rep,d0,hv_raw,hv_pmi,hv_own,hv_cross,final_own_hv,gen0_own_hv,gen_to_90,frac_final_at_gen0,n_pareto_final,n_active_min,n_active_max,n_active_span,pareto_min_matdist,pareto_min_textdist,image_dim
llava,96,raw,1,1.716181755065918,0.8267139505609694,0.9998739331136108,0.8267139505609694,0.9998739331136108,0.8267139505609694,0.6965666728999775,7,0.8425727815858436,77,0,136,136,3.48673747794237e-05,0.1649608612060547,253
llava,196,raw,1,-0.06451988220214844,0.9984337267753957,0.9984381593562461,0.9984337267753957,0.9984381593562461,0.9984337267753957,0.9594394217382323,0,0.9609445234155883,46,0,121,121,4.5514661906054243e-05,0.23471826314926147,222
llava,278,raw,1,2.143124580383301,0.8870684362655124,0.9998151543706092,0.8870684362655124,0.9998151543706092,0.8870684362655124,0.42865894565675977,25,0.48323097534771936,84,0,119,119,2.994129499711562e-05,0.30592525005340576,229
llava,454,raw,1,0.11950206756591797,0.9949379507049629,0.9973324462008557,0.9949379507049629,0.9973324462008557,0.9949379507049629,0.9360222550653625,0,0.940784552847888,143,0,167,167,2.2720023480360396e-05,0.2518230676651001,293
llava,474,raw,1,1.024472713470459,0.9042498322205875,0.9982568523311507,0.9042498322205875,0.9982568523311507,0.9042498322205875,0.803583585497191,8,0.8886742986988584,113,0,167,167,2.2720023480360396e-05,0.162395179271698,293
llava,2,raw,2,-1.1898174285888672,0.9999603059914735,0.9971997046971822,0.9999603059914735,0.9971997046971822,0.9999603059914735,0.9997917215029398,0,0.9998314088194066,44,0,121,121,2.782623232633341e-05,0.4209756851196289,222
llava,26,raw,2,-1.0256848335266113,0.9975511055808884,0.9132470361463301,0.9975511055808884,0.9132470361463301,0.9975511055808884,0.8990319388227779,0,0.901238977926107,84,0,121,121,2.782623232633341e-05,0.29237669706344604,222
llava,28,raw,2,4.609247207641602,0.7424723029628889,0.9993449268308845,0.7424723029628889,0.9993449268308845,0.7424723029628889,0.1826427661262833,24,0.24599269952216973,76,0,121,121,2.782623232633341e-05,0.3305758237838745,222
llava,96,raw,2,1.716181755065918,0.8858472936748674,0.9998212318489518,0.8858472936748674,0.9998212318489518,0.8858472936748674,0.7218695410548148,3,0.8148916254631159,102,0,144,144,3.48673747794237e-05,0.3454081416130066,253
llava,196,raw,2,-0.06451988220214844,0.9992911366371062,0.9992731152712047,0.9992911366371062,0.9992731152712047,0.9992911366371062,0.9709839345635594,0,0.9716727177538985,65,0,121,121,4.5514661906054243e-05,0.3906092047691345,222
llava,278,raw,2,2.143124580383301,0.7199952179861555,0.9983489432709707,0.7199952179861555,0.9983489432709707,0.7199952179861555,0.4859670990592701,20,0.6749587871132424,69,0,118,118,2.994129499711562e-05,0.18239009380340576,229
llava,454,raw,2,0.11950206756591797,0.998211630375312,0.9995964133563167,0.998211630375312,0.9995964133563167,0.998211630375312,0.961663855152868,0,0.9633867467475783,96,0,158,158,2.2720023480360396e-05,0.3884403705596924,293
llava,474,raw,2,1.024472713470459,0.9425850960853022,0.9997971908224321,0.9425850960853022,0.9997971908224321,0.9425850960853022,0.8490770202176698,0,0.900796144288738,92,0,149,149,2.2720023480360396e-05,0.31827211380004883,293
llava,2,raw,3,-1.1898174285888672,0.9997659135867167,0.974361344142719,0.9997659135867167,0.974361344142719,0.9997659135867167,0.9977466564278703,0,0.9979802700498137,50,0,118,118,2.782623232633341e-05,0.4860268235206604,222
llava,26,raw,3,-1.0256848335266113,0.9983685129397624,0.9291191032161942,0.9983685129397624,0.9291191032161942,0.9983685129397624,0.9311122236488102,0,0.9326338036313749,69,0,117,117,2.782623232633341e-05,0.2818605303764343,222
llava,28,raw,3,4.609247207641602,0.7631399074384758,0.9981932279852417,0.7631399074384758,0.9981932279852417,0.7631399074384758,0.18386848767598474,12,0.2409368005575153,117,0,117,117,2.782623232633341e-05,0.23089861869812012,222
