sut,seed,arm,rep,a_word,t_word,anchor,target,d0,d0_armgray,d0_run,floor_own,floor_raw,floor_pmi,reached_own,reached_evid,crossed_raw,crossed_pmi,gen_reach_own,gen_reach_own_trace,gen_reach_evid,gen_cross_behav,final_pareto_min
llava,28,raw,1,sparrow,snake,junco,boa constrictor,4.609247207641602,4.609247207641602,4.609247207641602,0.5358511805534363,0.5358511805534363,0.004077613353729248,False,True,False,True,,,0.0,,0.5358511805534363
llava,96,raw,1,flightless bird,lizard,ostrich,green iguana,1.716181755065918,1.716181755065918,1.716181755065918,1.0341554880142212,1.0341555178165436,0.0005030632019042969,False,True,False,True,,,0.0,,1.0341554880142212
llava,196,raw,1,iguana,constrictor,green iguana,boa constrictor,-0.0645198822021484,-0.0645198822021484,-0.0645198822021484,0.000993490219116211,0.000993490219116211,0.00035214424133304945,True,True,True,True,0.0,0.0,0.0,3.0,0.000993490219116211
llava,278,raw,1,constrictor,lizard,boa constrictor,green iguana,2.143124580383301,2.143124580383301,2.143124580383301,0.6631225347518921,0.6631225347518921,0.0008846521377563477,False,True,False,True,,,16.0,,0.6631225347518921
llava,454,raw,1,marimba,constrictor,marimba,boa constrictor,0.1195020675659179,0.1195020675659179,0.1195020675659179,0.00589597225189209,0.00589597225189209,0.0004305839538573525,True,True,True,True,2.0,2.0,0.0,11.0,0.00589597225189209
llava,474,raw,1,marimba,string instrument,marimba,cello,1.024472713470459,1.024472713470459,1.024472713470459,0.5286166667938232,0.5286166667938232,0.002286195755004883,False,True,False,True,,,0.0,,0.5286166667938232
llava,2,raw,2,sparrow,flightless bird,junco,ostrich,-1.1898174285888672,-1.1898174285888672,-1.1898174285888672,0.0001728534698486328,0.0001728534698486328,0.006427764892578125,True,True,True,True,0.0,0.0,0.0,0.0,0.0001728534698486328
llava,26,raw,2,sparrow,constrictor,junco,boa constrictor,-1.025684833526611,-1.025684833526611,-1.025684833526611,0.003257274627685547,0.003257274627685547,0.4871234893798826,True,False,True,False,2.0,2.0,,2.0,0.003257274627685547
llava,28,raw,2,sparrow,snake,junco,boa constrictor,4.609247207641602,4.609247207641602,4.609247207641602,1.4519776105880737,1.451977625489235,0.0007395744323730469,False,True,False,True,,,0.0,,1.4519776105880737
llava,96,raw,2,flightless bird,lizard,ostrich,green iguana,1.716181755065918,1.716181755065918,1.716181755065918,0.6776649951934814,0.6776649951934814,0.000893712043762207,False,True,False,True,,,0.0,,0.6776649951934814
llava,196,raw,2,iguana,constrictor,green iguana,boa constrictor,-0.0645198822021484,-0.0645198822021484,-0.0645198822021484,0.0009816884994506836,0.0009816884994506836,0.0006666183471680104,True,True,True,True,0.0,0.0,0.0,0.0,0.0009816884994506836
llava,278,raw,2,constrictor,lizard,boa constrictor,green iguana,2.143124580383301,2.143124580383301,2.143124580383301,1.670454502105713,1.670454502105713,0.006316781044006348,False,True,False,True,,,8.0,,1.670454502105713
llava,454,raw,2,marimba,constrictor,marimba,boa constrictor,0.1195020675659179,0.1195020675659179,0.1195020675659179,0.005991935729980469,0.005991935729980469,0.00011217594146735455,True,True,True,True,0.0,0.0,0.0,4.0,0.005991935729980469
llava,474,raw,2,marimba,string instrument,marimba,cello,1.024472713470459,1.024472713470459,1.024472713470459,0.33393633365631104,0.33393633365631104,0.0005120038986206055,False,True,False,True,,,0.0,,0.33393633365631104
